strategy,vehicles,avg_delay,avg_energy,avg_completion,avg_weighted_cost
LoadBalance,8,0.28426589341674086,4656.821000061518,0.6636518643862456,25.0
LocalOnly,8,0.44184190082349317,806.5138316933684,0.8837672043050513,24.282624321105935
MinDelay,8,0.31148223856471136,6267.599330565794,0.6932071034051918,25.0
NearestNode,8,0.2774373182199027,3710.3720493088695,0.646568882676297,25.0
RSUOnly,8,0.3596290856862468,1725.8027761599562,0.8287386861522913,25.0
Random,8,0.2731146149856872,2459.1389174699393,0.67515063954507,25.0
RoundRobin,8,0.2846707687089489,3197.09694580526,0.6556865073969979,25.0
TD3,8,0.11721597787905337,128.38172049525224,0.9742188337924772,0.3884900203524094
UAVOnly,8,0.28334124061343174,1971.3164969963366,0.7355257158218241,25.0
LoadBalance,12,0.2734689887350723,6951.2149379643515,0.6735816215058043,25.0
LocalOnly,12,0.4438293558361365,1195.650635044115,0.878350959571214,24.510064426171997
MinDelay,12,0.30203796550361395,9337.371003649097,0.7011202087080018,25.0
NearestNode,12,0.2659025179708967,5538.16910550856,0.657312057558056,25.0
RSUOnly,12,0.35960571214051595,2565.4041037811394,0.817932342429695,25.0
Random,12,0.26127726901424203,3658.10472589485,0.6871972257763351,25.0
RoundRobin,12,0.2734220324089711,4764.109371526975,0.665632687032027,25.0
TD3,12,0.1321509656032152,233.4577375126045,0.9762603033514821,0.5444512162215558
UAVOnly,12,0.2756176915632368,2929.1605206572976,0.7357092083654748,25.0
LoadBalance,16,0.26489062537141145,9281.357647326467,0.6860227758654175,25.0
LocalOnly,16,0.44603057533258644,1602.2627647895283,0.8714877534326183,24.634775138905404
MinDelay,16,0.2947194639641099,12474.872570620555,0.7111571476413411,25.0
NearestNode,16,0.2565797713111383,7398.3015051248,0.6717562318288185,25.0
RSUOnly,16,0.3606325616269969,3442.208298216546,0.8115013811731377,25.0
Random,16,0.25393214413021287,4903.176913116395,0.7007414244173434,25.0
RoundRobin,16,0.2646754555347736,6374.738095933815,0.6799378296805262,25.0
TD3,16,0.1095970506613002,353.272378993454,0.9755956319575455,0.6431209561147452
UAVOnly,16,0.27144715866979585,3928.3615318526204,0.7404729792671559,25.0
LoadBalance,20,0.2581829429448304,11581.377714274799,0.6955358808055365,25.0
LocalOnly,20,0.447205459301822,1990.9923032839015,0.8679534598785011,24.706426952946632
MinDelay,20,0.28875701609236787,15565.651584498462,0.7187986677313922,25.0
NearestNode,20,0.24908604012274405,9226.303199166117,0.6829870307675852,25.0
RSUOnly,20,0.3590176034851369,4275.867637578119,0.8079777376642948,25.0
Random,20,0.24727248970074892,6104.3113400001175,0.7105271623236277,25.0
RoundRobin,20,0.25717295760990133,7950.204560318322,0.6918912189289503,25.0
TD3,20,0.12371508160766727,430.47034569213747,0.9635731050856353,0.7639945780458994
UAVOnly,20,0.2666864256363898,4879.916316667809,0.7436501543175886,25.0
LoadBalance,24,0.2523624145502182,13887.440823608691,0.706587902150725,25.0
LocalOnly,24,0.4469853957010211,2389.94539156679,0.8679340707861161,24.75786942202371
MinDelay,24,0.28353324011155173,18673.74536140432,0.7278723190919931,25.0
NearestNode,24,0.2430016995685122,11068.784438863748,0.6953818043227779,25.0
RSUOnly,24,0.35737851612678423,5129.886258602307,0.8080060306058698,25.0
Random,24,0.24288300648608452,7323.590567745636,0.7192645786173903,25.0
RoundRobin,24,0.25151509339455913,9538.767529274366,0.7032220590207088,25.0
TD3,24,0.13023674025679657,629.9995337388292,0.9667559506621177,1.0164729210001882
UAVOnly,24,0.26361981399013973,5856.437923445233,0.7478733522126959,25.0
