algorithm,label,category,vehicles,seed,episodes,avg_latency,avg_latency_std,completion_rate,completion_rate_std,avg_energy,avg_energy_std,energy_efficiency,data_loss_rate,data_loss_rate_std,training_time_hours,source_file
RSUOnly,RSUOnly,heuristic,12,42,160,0.30074335244727174,0.0,0.9883590619902997,0.0,10670.772963244759,0.0,9.262300541813424e-05,,,0.021811576551861233,results\paper_comparison\high_load\20251022_230440\rsuonly\rsuonly_seed_42.json
RSUOnly,RSUOnly,heuristic,12,42,160,0.30074335244727174,0.0,0.9883590619902997,0.0,10670.772963244759,0.0,9.262300541813424e-05,,,0.02269365436500973,results\paper_comparison\high_load\20251022_230440\sweeps\vehicle_scaling_high_load\20251022_230440_vehicle_scaling_high_load_0\rsuonly\rsuonly_seed_42.json
RSUOnly,RSUOnly,heuristic,16,42,160,0.2849048327800624,0.0,0.9866457761847904,0.0,12741.5635370722,0.0,7.743522004297954e-05,,,0.028489624129401314,results\paper_comparison\high_load\20251022_230440\sweeps\vehicle_scaling_high_load\20251022_230440_vehicle_scaling_high_load_1\rsuonly\rsuonly_seed_42.json
RSUOnly,RSUOnly,heuristic,20,42,160,0.28121612382090955,0.0,0.9852521496767481,0.0,14928.2852755283,0.0,6.599901673180484e-05,,,0.0347256455818812,results\paper_comparison\high_load\20251022_230440\sweeps\vehicle_scaling_high_load\20251022_230440_vehicle_scaling_high_load_2\rsuonly\rsuonly_seed_42.json
SimulatedAnnealing,SimulatedAnnealing,meta,12,42,180,0.5998504017639745,0.0,0.9884301256403032,0.0,9807.278533198843,0.0,0.00010078536286028237,,,0.020371550189124215,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_0\simulatedannealing\simulatedannealing_seed_42.json
SimulatedAnnealing,SimulatedAnnealing,meta,12,2025,180,0.5737065541943498,0.0,0.9873888819110105,0.0,9648.113991845834,0.0,0.00010234009286638908,,,0.021661314302020604,results\paper_comparison\high_load\20251022_155709\simulatedannealing\simulatedannealing_seed_2025.json
SimulatedAnnealing,SimulatedAnnealing,meta,12,2025,180,0.5737065541943498,0.0,0.9873888819110105,0.0,9648.113991845834,0.0,0.00010234009286638908,,,0.019220557543966506,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_0\simulatedannealing\simulatedannealing_seed_2025.json
SimulatedAnnealing,SimulatedAnnealing,meta,12,3407,180,0.5852191244473521,0.0,0.9884377931518489,0.0,9781.394717257026,0.0,0.00010105284795510576,,,0.021052647365464104,results\paper_comparison\high_load\20251022_155709\simulatedannealing\simulatedannealing_seed_3407.json
SimulatedAnnealing,SimulatedAnnealing,meta,12,3407,180,0.5879314171674089,0.0,0.9898146964835784,0.0,9847.266907314866,0.0,0.00010051669217458829,,,0.019149292045169408,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_0\simulatedannealing\simulatedannealing_seed_3407.json
SimulatedAnnealing,SimulatedAnnealing,meta,16,42,180,0.5662030653482931,0.0,0.9871895302381254,0.0,12012.978632718696,0.0,8.217691551947025e-05,,,0.02430668897098965,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_1\simulatedannealing\simulatedannealing_seed_42.json
SimulatedAnnealing,SimulatedAnnealing,meta,16,2025,180,0.5691869867746726,0.0,0.9871642017874175,0.0,11934.750241883574,0.0,8.271343612395701e-05,,,0.024063382082515294,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_1\simulatedannealing\simulatedannealing_seed_2025.json
SimulatedAnnealing,SimulatedAnnealing,meta,16,3407,180,0.5718286941530657,0.0,0.9871577083380417,0.0,11926.758193768466,0.0,8.276831745057222e-05,,,0.024473903907669917,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_1\simulatedannealing\simulatedannealing_seed_3407.json
